,Sales_in_thousands,four_year_resale_value,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Power_perf_factor,Manufacturer_Audi,Manufacturer_BMW,Manufacturer_Buick,Manufacturer_Cadillac,Manufacturer_Chevrolet,Manufacturer_Chrysler,Manufacturer_Dodge,Manufacturer_Ford,Manufacturer_Honda,Manufacturer_Hyundai,Manufacturer_Infiniti,Manufacturer_Jaguar,Manufacturer_Jeep,Manufacturer_Lexus,Manufacturer_Lincoln,Manufacturer_Mercedes-B,Manufacturer_Mercury,Manufacturer_Mitsubishi,Manufacturer_Nissan,Manufacturer_Oldsmobile,Manufacturer_Plymouth,Manufacturer_Pontiac,Manufacturer_Porsche,Manufacturer_Saab,Manufacturer_Saturn,Manufacturer_Subaru,Manufacturer_Toyota,Manufacturer_Volkswagen,Manufacturer_Volvo,Vehicle_type_Passenger,ln_sales_in_thousands
Fuel_efficiency,0.036851350389169014,-0.34100281205677935,-0.5071496340190702,-0.757119549523683,-0.6107190027925087,-0.49897599044941215,-0.5845841288680662,-0.4186882888304684,-0.829389053070991,-0.821330184702917,1.0,-0.6067228151118429,-0.015479118786430894,0.043506843579337345,0.019651277341205656,-0.1458203381132965,0.20887664666529238,0.036036586640049634,-0.2308098894974794,-0.06629688636692047,0.05653540629945004,0.13788438336456607,0.02495715120647622,-0.05625057396278302,-0.18063981341058122,-0.14847217161009355,-0.157045428464274,-0.020400875871334722,-0.005258501199056467,-0.050042507588672056,-0.08134399639911626,-0.03053150185982779,0.06065128455142931,0.053711833676076626,-0.06266788867904514,-0.022199056650806473,0.3048810926241846,0.02100654534311849,0.0907639835403635,0.12110650210480019,0.036863166568895746,0.5978550040484706,0.13566061058533435
Power_perf_factor,-0.2843959569702724,0.698053175313265,0.9067614901208786,0.7965310988049668,0.9897864013591341,0.2888489651290976,0.5069191741876937,0.3703305070358745,0.6292111395802101,0.5222095302862123,-0.6067228151118429,1.0,0.10169563339493749,0.013200445836342516,0.05090558097676741,0.23385805637677468,-0.0632828342768299,0.008578732029681523,-0.0020665300694903783,-0.0887954724199704,-0.08888576592291073,-0.1547135993200912,0.05303893091277039,0.08605832855979892,-0.04868524897955814,0.2371123027551697,0.199128385438445,0.2782310391313275,-0.08452456524788457,-0.08319284931104608,-0.06976260134032085,0.010101363203698997,-0.05770261754633205,-0.013561958796148452,0.26269005950341945,-0.009736599208434943,-0.21847263524910362,-0.04579702397092079,-0.11272127845914237,-0.22539543636286757,0.0014797806012267223,-0.0022584956928678704,-0.44705020264576195
Manufacturer_Audi,-0.09120480032562124,0.1567972024080343,0.1272632933833868,-0.016647279671072015,0.0923541603400724,0.012605388734000389,0.06632887662486273,0.0220916395319226,0.024548613485767885,0.05846379350996869,-0.015479118786430894,0.10169563339493749,1.0,-0.01948051948051965,-0.022567556955543286,-0.025314157340492135,-0.034418398925954795,-0.0301511344577767,-0.03831070831790989,-0.03831070831790989,-0.02531415734049213,-0.01948051948051963,-0.011174753906691965,-0.011174753906691965,-0.019480519480519626,-0.02782194056332857,-0.019480519480519622,-0.03441839892595497,-0.02782194056332859,-0.030151134457776695,-0.030151134457776663,-0.027821940563328606,-0.022567556955543334,-0.02782194056332862,-0.0194805194805196,-0.01585438556627552,-0.025314157340492152,-0.015854385566275508,-0.03441839892595512,-0.027821940563328623,-0.027821940563328623,0.08297804542942087,-0.1349308671647153
Manufacturer_BMW,-0.08639540062297978,0.12942115076362812,0.05833587860977266,-0.0500147069162084,0.0001614839872422331,0.02332679808105172,-0.07866933729383,-0.0785468393580991,-0.021763360251979467,-0.026105344571683013,0.043506843579337345,0.013200445836342516,-0.01948051948051965,1.0,-0.022567556955543286,-0.02531415734049213,-0.0344183989259548,-0.030151134457776695,-0.03831070831790989,-0.03831070831790989,-0.02531415734049213,-0.019480519480519626,-0.011174753906691965,-0.011174753906691964,-0.019480519480519626,-0.02782194056332857,-0.019480519480519622,-0.034418398925954975,-0.02782194056332858,-0.03015113445777669,-0.030151134457776653,-0.027821940563328606,-0.022567556955543328,-0.02782194056332862,-0.019480519480519598,-0.015854385566275518,-0.02531415734049216,-0.015854385566275504,-0.03441839892595513,-0.027821940563328623,-0.027821940563328623,0.08297804542942089,-0.06830920214800265
Manufacturer_Buick,0.026377855734662024,-0.035874344753476554,-0.005681830129889563,0.09529940388818298,0.06462785971044982,0.07816620721009263,0.10723549328712109,0.1496205937437394,0.05023173900912443,-0.008234308324434437,0.019651277341205656,0.05090558097676741,-0.022567556955543286,-0.022567556955543286,1.0,-0.029325639294907318,-0.03987261114144494,-0.034929122133039114,-0.04438172672121029,-0.04438172672121028,-0.029325639294907453,-0.022567556955543362,-0.012945593956343537,-0.01294559395634354,-0.022567556955543352,-0.03223082571820159,-0.022567556955543324,-0.03987261114144498,-0.032230825718201565,-0.03492912213303902,-0.034929122133038955,-0.032230825718201524,-0.026143790849673235,-0.03223082571820151,-0.022567556955543206,-0.018366797128785913,-0.029325639294907682,-0.018366797128785906,-0.039872611141444976,-0.03223082571820147,-0.03223082571820146,0.09612740400278891,0.0875072152829903
Manufacturer_Cadillac,-0.0904107152567152,0.08075567467096334,0.16893895612743295,0.26949653322793465,0.24441896590339385,0.11423231609429181,0.1773508225611828,0.1895334721647712,0.20240904545528612,0.13649281936409421,-0.1458203381132965,0.23385805637677468,-0.025314157340492135,-0.02531415734049213,-0.029325639294907318,1.0,-0.04472533531206549,-0.03918019549846872,-0.04978323597351089,-0.04978323597351079,-0.032894736842105386,-0.025314157340492117,-0.014521146569944075,-0.014521146569944075,-0.025314157340492114,-0.03615350102147958,-0.02531415734049211,-0.04472533531206533,-0.03615350102147961,-0.03918019549846893,-0.03918019549846899,-0.036153501021479635,-0.02932563929490768,-0.03615350102147966,-0.025314157340492104,-0.020602141085758204,-0.032894736842105345,-0.020602141085758214,-0.04472533531206523,-0.03615350102147973,-0.036153501021479746,0.025247217316078565,-0.07547443646580969
Manufacturer_Chevrolet,0.04490693885712096,-0.09186238168282906,-0.12627935559492773,0.01704872196440325,-0.0549762076398294,-0.11701325813350252,-0.03664207035523108,-0.02903385371933348,-0.14544207912838145,-0.14862230931317735,0.20887664666529238,-0.0632828342768299,-0.034418398925954795,-0.0344183989259548,-0.03987261114144494,-0.04472533531206549,1.0,-0.053271360390343116,-0.06768778642378243,-0.06768778642378236,-0.04472533531206544,-0.03441839892595487,-0.0197436797434746,-0.0197436797434746,-0.03441839892595488,-0.04915611465907921,-0.03441839892595489,-0.060810810810810995,-0.049156114659079306,-0.05327136039034311,-0.05327136039034312,-0.04915611465907943,-0.039872611141445004,-0.049156114659079486,-0.034418398925954996,-0.028011705113493227,-0.044725335312065205,-0.02801170511349322,-0.060810810810810884,-0.04915611465907961,-0.049156114659079646,0.14660653544387178,0.09820190983551902
Manufacturer_Chrysler,-0.08372660107150608,-0.049919092179879845,-0.06091731890480423,-0.052115306207559456,0.029160743358622482,0.04879388765952352,0.0502958897782972,0.14450564784450454,-0.02584992985565566,-0.07726064377217877,0.036036586640049634,0.008578732029681523,-0.0301511344577767,-0.030151134457776695,-0.034929122133039114,-0.03918019549846872,-0.053271360390343116,1.0,-0.059295714306852834,-0.05929571430685275,-0.03918019549846883,-0.030151134457776622,-0.017295817388759096,-0.01729581738875909,-0.030151134457776615,-0.04306163763446072,-0.030151134457776615,-0.053271360390343185,-0.043061637634460734,-0.0466666666666665,-0.04666666666666651,-0.04306163763446071,-0.03492912213303897,-0.04306163763446071,-0.030151134457776525,-0.024538755828982267,-0.03918019549846903,-0.024538755828982253,-0.05327136039034321,-0.04306163763446069,-0.04306163763446068,0.0581738463877054,-0.01632275277239003
Manufacturer_Dodge,0.1508647138545816,-0.01473216649612517,-0.06020960736606729,0.12662629908332407,0.015571824398832878,0.25472247891042304,0.28788405283838386,0.1636604287775072,0.1093834965083841,0.24864144018509873,-0.2308098894974794,-0.0020665300694903783,-0.03831070831790989,-0.03831070831790989,-0.04438172672121029,-0.04978323597351089,-0.06768778642378243,-0.059295714306852834,1.0,-0.07534246575342468,-0.04978323597351074,-0.03831070831790985,-0.021976453855442942,-0.021976453855442942,-0.03831070831790984,-0.054715083487674725,-0.038310708317909836,-0.06768778642378213,-0.05471508348767475,-0.05929571430685251,-0.05929571430685236,-0.054715083487674794,-0.04438172672121036,-0.05471508348767481,-0.0383107083179098,-0.031179494037448515,-0.04978323597351053,-0.031179494037448508,-0.06768778642378188,-0.05471508348767486,-0.05471508348767488,-0.17765923948827536,0.08791247692865081
Manufacturer_Ford,0.5049405739055449,-0.1127163309713833,-0.12256494364637752,0.07804976772803963,-0.07940072337306346,0.1819964902858406,0.13686254687790336,0.15772673859283992,0.035918774904761364,0.08101164617316903,-0.06629688636692047,-0.0887954724199704,-0.03831070831790989,-0.03831070831790989,-0.04438172672121028,-0.04978323597351079,-0.06768778642378236,-0.05929571430685275,-0.07534246575342468,1.0,-0.04978323597351074,-0.03831070831790984,-0.021976453855442942,-0.021976453855442942,-0.038310708317909836,-0.05471508348767472,-0.038310708317909836,-0.06768778642378212,-0.054715083487674745,-0.05929571430685251,-0.05929571430685235,-0.054715083487674794,-0.04438172672121035,-0.05471508348767481,-0.038310708317909795,-0.031179494037448508,-0.04978323597351053,-0.0311794940374485,-0.06768778642378188,-0.054715083487674857,-0.05471508348767487,-0.1208517026254255,0.3458692643946321
Manufacturer_Honda,0.21250644765469895,-0.02896871942107079,-0.09100899547232676,-0.09844097970296153,-0.08595450927151453,0.0031037815712841345,-0.03798562337753352,-0.04391503877516154,-0.015223497708988553,-0.04124913430682118,0.05653540629945004,-0.08888576592291073,-0.02531415734049213,-0.02531415734049213,-0.029325639294907453,-0.032894736842105386,-0.04472533531206544,-0.03918019549846883,-0.04978323597351074,-0.04978323597351074,1.0,-0.025314157340492145,-0.01452114656994407,-0.014521146569944073,-0.025314157340492142,-0.03615350102147962,-0.02531415734049214,-0.0447253353120654,-0.03615350102147964,-0.03918019549846883,-0.039180195498468885,-0.036153501021479684,-0.02932563929490768,-0.036153501021479705,-0.025314157340492135,-0.0206021410857582,-0.03289473684210529,-0.020602141085758214,-0.0447253353120653,-0.03615350102147977,-0.03615350102147979,-0.13991166262660187,0.15572773463974518
Manufacturer_Hyundai,-0.012959877691977338,-0.13387729997482414,-0.1494829806230346,-0.15226203754594658,-0.15195643199492737,-0.1229889059492957,-0.12306640946036296,-0.12815233072587562,-0.16565534260257228,-0.12538215884144774,0.13788438336456607,-0.1547135993200912,-0.01948051948051963,-0.019480519480519626,-0.022567556955543362,-0.025314157340492117,-0.03441839892595487,-0.030151134457776622,-0.03831070831790985,-0.03831070831790984,-0.025314157340492145,1.0,-0.011174753906691938,-0.011174753906691938,-0.019480519480519588,-0.02782194056332852,-0.019480519480519584,-0.03441839892595501,-0.027821940563328533,-0.030151134457776566,-0.030151134457776535,-0.027821940563328557,-0.022567556955543272,-0.027821940563328557,-0.019480519480519563,-0.01585438556627548,-0.025314157340492166,-0.01585438556627547,-0.034418398925955156,-0.02782194056332857,-0.027821940563328575,0.08297804542942092,0.0513591408373083
Manufacturer_Infiniti,-0.03813368109799047,0.02061041874435473,0.012602568761243856,-0.004080700791588971,0.06365653245493451,0.009401581193312268,-0.022947299876736205,0.03908099056644727,-0.004770088086101702,0.011741762249827559,0.02495715120647622,0.05303893091277039,-0.011174753906691965,-0.011174753906691965,-0.012945593956343537,-0.014521146569944075,-0.0197436797434746,-0.017295817388759096,-0.021976453855442942,-0.021976453855442942,-0.01452114656994407,-0.011174753906691938,1.0,-0.0064102564102563675,-0.011174753906691932,-0.01595970473542595,-0.011174753906691924,-0.019743679743474605,-0.015959704735425937,-0.017295817388759065,-0.017295817388759033,-0.015959704735425916,-0.012945593956343633,-0.01595970473542591,-0.011174753906691861,-0.009094667994973358,-0.01452114656994418,-0.009094667994973356,-0.019743679743474605,-0.015959704735425892,-0.015959704735425885,0.0475993075163797,-0.008833981125622281
Manufacturer_Jaguar,-0.04960786830708535,-0.023915464603701773,0.08920166446474474,-0.004080700791588971,0.08348846900709614,0.0766920159989755,0.010323257596262484,0.02434141812291312,0.035274351563410494,0.00963254408824524,-0.05625057396278302,0.08605832855979892,-0.011174753906691965,-0.011174753906691964,-0.01294559395634354,-0.014521146569944075,-0.0197436797434746,-0.01729581738875909,-0.021976453855442942,-0.021976453855442942,-0.014521146569944073,-0.011174753906691938,-0.0064102564102563675,1.0,-0.011174753906691932,-0.01595970473542595,-0.011174753906691924,-0.019743679743474605,-0.015959704735425937,-0.017295817388759065,-0.017295817388759033,-0.015959704735425916,-0.012945593956343633,-0.01595970473542591,-0.011174753906691861,-0.009094667994973358,-0.01452114656994418,-0.009094667994973356,-0.019743679743474605,-0.015959704735425892,-0.015959704735425885,0.0475993075163797,-0.03606596755960523
Manufacturer_Jeep,0.11303782363006598,-0.02516197447374268,-0.06287957260106451,0.06438790078140134,-0.045048386147318674,-0.13623299984859427,-0.07038372506990463,-0.20732483619307873,-0.0012893881754223347,0.06949455065105357,-0.18063981341058122,-0.04868524897955814,-0.019480519480519626,-0.019480519480519626,-0.022567556955543352,-0.025314157340492114,-0.03441839892595488,-0.030151134457776615,-0.03831070831790984,-0.038310708317909836,-0.025314157340492142,-0.019480519480519588,-0.011174753906691932,-0.011174753906691932,1.0,-0.027821940563328516,-0.019480519480519584,-0.03441839892595501,-0.027821940563328526,-0.03015113445777656,-0.03015113445777652,-0.02782194056332855,-0.02256755695554327,-0.02782194056332855,-0.019480519480519556,-0.015854385566275477,-0.025314157340492166,-0.01585438556627547,-0.03441839892595515,-0.027821940563328568,-0.027821940563328568,-0.23476715292226413,0.1314227759342548
Manufacturer_Lexus,-0.11540212738881894,0.1312039794704736,0.24003494717411636,0.11578590804910928,0.2300182346291915,0.03736840886627656,0.051341106401107846,0.035373761201554305,0.19521979941405163,0.1360110762249711,-0.14847217161009355,0.2371123027551697,-0.02782194056332857,-0.02782194056332857,-0.03223082571820159,-0.03615350102147958,-0.04915611465907921,-0.04306163763446072,-0.054715083487674725,-0.05471508348767472,-0.03615350102147962,-0.02782194056332852,-0.01595970473542595,-0.01595970473542595,-0.027821940563328516,1.0,-0.027821940563328502,-0.04915611465907937,-0.0397350993377482,-0.04306163763446062,-0.04306163763446057,-0.03973509933774823,-0.032230825718201496,-0.03973509933774824,-0.02782194056332847,-0.02264312167517439,-0.036153501021479656,-0.02264312167517437,-0.04915611465907958,-0.039735099337748256,-0.039735099337748256,-0.0327584912155018,-0.1296080682669392
Manufacturer_Lincoln,-0.05475669837606328,0.02353264912016776,0.1443866656733933,0.25982568893148406,0.20759500578110984,0.14756901227923447,0.24156957516088257,0.23764355885664978,0.24522932358031893,0.18593032047361743,-0.157045428464274,0.199128385438445,-0.019480519480519622,-0.019480519480519622,-0.022567556955543324,-0.02531415734049211,-0.03441839892595489,-0.030151134457776615,-0.038310708317909836,-0.038310708317909836,-0.02531415734049214,-0.019480519480519584,-0.011174753906691924,-0.011174753906691924,-0.019480519480519584,-0.027821940563328502,1.0,-0.03441839892595501,-0.02782194056332852,-0.030151134457776542,-0.030151134457776504,-0.027821940563328543,-0.022567556955543265,-0.02782194056332855,-0.019480519480519556,-0.015854385566275473,-0.025314157340492163,-0.015854385566275466,-0.03441839892595515,-0.027821940563328557,-0.02782194056332856,-0.02293702068780735,-0.00989393964407239
Manufacturer_Mercedes-B,-0.16330645987300785,0.25752055588996187,0.43182920542704784,0.09410994658435236,0.2206004856804413,-0.035299626465497856,-0.07718427780858902,-0.13940796020060608,0.11870114763860108,0.06359412802140291,-0.020400875871334722,0.2782310391313275,-0.03441839892595497,-0.034418398925954975,-0.03987261114144498,-0.04472533531206533,-0.060810810810810995,-0.053271360390343185,-0.06768778642378213,-0.06768778642378212,-0.0447253353120654,-0.03441839892595501,-0.019743679743474605,-0.019743679743474605,-0.03441839892595501,-0.04915611465907937,-0.03441839892595501,1.0,-0.04915611465907939,-0.05327136039034318,-0.05327136039034317,-0.049156114659079514,-0.03987261114144502,-0.04915611465907957,-0.03441839892595505,-0.028011705113493227,-0.04472533531206531,-0.02801170511349322,-0.06081081081081082,-0.04915611465907971,-0.049156114659079736,0.08422922903550421,-0.2447738341037304
Manufacturer_Mercury,-0.03967264919792338,-0.06376769454141802,-0.09328418172921914,0.020475659419065796,-0.08142942744774112,0.06889361140257658,0.07895249663101594,0.107749029157416,0.029449379221441276,-0.005775369906101734,-0.005258501199056467,-0.08452456524788457,-0.02782194056332859,-0.02782194056332858,-0.032230825718201565,-0.03615350102147961,-0.049156114659079306,-0.043061637634460734,-0.05471508348767475,-0.054715083487674745,-0.03615350102147964,-0.027821940563328533,-0.015959704735425937,-0.015959704735425937,-0.027821940563328526,-0.0397350993377482,-0.02782194056332852,-0.04915611465907939,1.0,-0.04306163763446063,-0.0430616376344606,-0.039735099337748256,-0.03223082571820152,-0.03973509933774827,-0.027821940563328484,-0.022643121675174398,-0.03615350102147968,-0.022643121675174384,-0.04915611465907961,-0.03973509933774828,-0.03973509933774828,-0.032758491215501846,0.028092963735330916
Manufacturer_Mitsubishi,-0.09445286429824083,-0.06273644781320174,-0.07909955165610438,-0.0552772272473194,-0.08285637640163143,-0.12649053304309948,-0.13702792962508967,-0.08345904095985181,-0.047198498051568075,0.019486045744953714,-0.050042507588672056,-0.08319284931104608,-0.030151134457776695,-0.03015113445777669,-0.03492912213303902,-0.03918019549846893,-0.05327136039034311,-0.0466666666666665,-0.05929571430685251,-0.05929571430685251,-0.03918019549846883,-0.030151134457776566,-0.017295817388759065,-0.017295817388759065,-0.03015113445777656,-0.04306163763446062,-0.030151134457776542,-0.05327136039034318,-0.04306163763446063,1.0,-0.04666666666666658,-0.043061637634460616,-0.03492912213303897,-0.0430616376344606,-0.03015113445777645,-0.024538755828982264,-0.03918019549846895,-0.024538755828982246,-0.05327136039034321,-0.04306163763446058,-0.04306163763446058,-0.012082260403600432,-0.10607829113805567
